CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,PARKS_NM,HADEVELOPT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
787250300,08/08/2009,02:13:00,,,08/08/2009,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,113.0,INSIDE,,,,1047737.0,193221.0,40.696804277,-73.771049296,"(40.696804277, -73.771049296)"
616681483,08/07/2009,23:59:00,,,08/07/2009,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,43.0,OUTSIDE,,,,1026201.0,238332.0,40.820750538,-73.848432551,"(40.820750538, -73.848432551)"
850701450,08/07/2009,22:30:00,,,08/07/2009,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,48.0,OUTSIDE,,,,1015126.0,245153.0,40.839517869,-73.888415067,"(40.839517869, -73.888415067)"
395724591,08/07/2009,21:30:00,,,08/07/2009,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,46.0,OUTSIDE,,,,1008942.0,250907.0,40.855330354,-73.91074294100001,"(40.855330354, -73.910742941)"
507521699,08/07/2009,19:10:00,,,08/07/2009,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,STATEN ISLAND,120.0,OUTSIDE,,,,936722.0,172119.0,40.638984176,-74.171252305,"(40.638984176, -74.171252305)"
769569161,08/07/2009,16:37:00,,,08/07/2009,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,79.0,OUTSIDE,,,ARMSTRONG I,998205.0,190419.0,40.689330153,-73.949681448,"(40.689330153, -73.949681448)"
356961643,08/07/2009,01:17:00,,,08/07/2009,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,45.0,OUTSIDE,,,,1025772.0,244993.0,40.839035078,-73.849941299,"(40.839035078, -73.849941299)"
104718020,08/06/2009,02:30:00,,,08/06/2009,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,STATEN ISLAND,120.0,OUTSIDE,,,,960708.0,174037.0,40.644344907,-74.084833746,"(40.644344907, -74.084833746)"
178636422,08/05/2009,22:40:00,,,08/05/2009,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,52.0,INSIDE,,,,1014487.0,254336.0,40.864724674,-73.890683006,"(40.864724674, -73.890683006)"
456855052,08/05/2009,03:56:00,,,08/05/2009,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,48.0,OUTSIDE,,,,1015272.0,250439.0,40.854025863000004,-73.887862966,"(40.854025863, -73.887862966)"
