265 TROY AVE 11213
99B CHRYSTIE ST 10002
100 STANTON STREET 10002
377 KINGSTON AVENUE 11213
1137 WASHINGTON AVE 11225
216 E 198TH ST 10458
900 MAIN STREET 10044
747 9 AVENUE 10019
13335 ROOSEVELT AVE 11354
269 COLUMBUS AVENUE 10023
9117 37 AVENUE 11372
177 5 AVENUE 11217
9210 SHORE PARKWAY 11414
43 W 39TH ST 10018
2924 30 AVENUE 11102
2620 JEROME AVENUE 10468
7414 5 AVENUE 11209
9051 CORONA AVENUE 11373
8 W 40TH ST 10018
3711 73RD ST 11372
274 BROADWAY 11211
1587 WATSON AVE 10472
16612 HILLSIDE AVENUE 11432
70 VANDAM STREET 10013
54 EAST   13 STREET 10003
75 RICHMOND TERRACE 10301
2823 MIDDLETOWN ROAD 10461
185 BLEECKER ST 10012
125 W 55TH ST 10019
0 CENTRAL TAXI HOLD 11430
87 CENTRAL AVE 11206
173 MULBERRY STREET 10013
326 DEKALB AVE 11205
3318 DITMARS BOULEVARD 11105
9 WEST   42 STREET 10036
1206 VICTORY BOULEVARD 10301
786 CONEY ISLAND AVENUE 11218
2929 DITMARS BOULEVARD 11105
6 WEST   25 STREET 10010
122 WEST   26 STREET 10001
8655 BROADWAY 11373
1089 2ND AVE 10022
309 W 39TH ST 10018
9510 3 AVENUE 11209
197 KNICKERBOCKER AVE 11237
3757 103 STREET 11368
4032 10 AVENUE 10034
2830 MIDDLETOWN ROAD 10461
2287 WESTCHESTER AVENUE 10462
2353 8 AVENUE 10027
26 1ST AVE 10009
10437 QUEENS BOULEVARD 11375
145149 COURT ST 11201
274 COLUMBUS AVE 10023
201 PORT RICHMOND AVENUE 10302
3218 3RD AVE 10451
5920 MAIN STREET 11355
3020 30 AVENUE 11102
3405 3 AVENUE 10456
27 CATHERINE STREET 10038
800 2ND AVE 10017
1215 1 AVENUE 10065
13106 ROCKAWAY BLVD 11420
1715 SHEEPSHEAD BAY RD 11235
353 BROADWAY 11211
2307 STEINWAY ST 11105
399 WEST BROADWAY 10012
2 TIMES SQUARE 10036
1866 86 STREET 11214
349 5TH AVE 11215
360 E 188TH ST 10458
1505 LEXINGTON AVE 10029
120 RIVERSIDE BOULEVARD 10069
1367 FULTON STREET 11216
630 UTICA AVENUE 11203
4229 BELL BLVD 11361
366 WEST   52 STREET 10019
199 KNICKERBOCKER AVE 11237
175 KENT AVENUE 11249
1217 AVENUE U 11229
89 FORT GREENE PL 11217
13 MARCUS GARVEY BLVD 11206
104 E 7TH ST 10009
20 Union Sq. W 10003
2450 AMSTERDAM AVE 10033
800 BURKE AVE 10467
886 AMSTERDAM AVE 10025
488 DRIGGS AVE 11211
4015 BELL BLVD 11361
55 ST. NICHOLAS AVENUE 10026
125 E 7TH ST 10009
600 3RD AVE 10016
1149 1 AVENUE 10065
41 ELIZABETH STREET 10013
622 THIRD AVENUE 10017
526 W 207TH ST 10034
935 8 AVENUE 10019
229 CHRYSTIE STREET 10002
95 PAGE AVE 10309
4183 BOWNE STREET 11355
811 9 AVENUE 10019
3147 STEINWAY ST 11103
4307 104 STREET 11368
2325 MERMAID AVE 11224
13324 41ST AVE 11355
277 GRAND ST 10002
131 BERRY ST 11249
237 36TH ST 11232
63 GRAND ST 11249
1377 E NEW YORK AVE 11212
485 COURT STREET 11231
1633 CROSBY AVE 10461
156 E 33RD ST 10016
599 EAST 184 STREET 10458
1509 MERMAID AVENUE 11224
120 CEDAR STREET 10006
7802 JAMAICA AVENUE 11421
6415 11TH AVE 11219
2418 BROADWAY 10024
111 E 58TH ST 10022
102 BOWERY 10013
21 BEDFORD PARK BLVD E 10468
6902 ROOSEVELT AVENUE 11377
273 CHURCH STREET 10013
13035 91ST AVE 11418
1642 BRUCKNER BLVD 10473
6398 WOODHAVEN BOULEVARD 11374
555 7 AVENUE 11215
73 2ND AVE 10003
5214 8 AVENUE 11220
13158 SANFORD AVE 11355
620 8 AVENUE 10018
2102 AVENUE X 11235
208 EAST   50 STREET 10022
2180 86 STREET 11214
10729 METROPOLITAN AVE 11375
21 WEST   45 STREET 10036
200 W 14TH ST 10011
15003 CROSSBAY BLVD 11417
21145 JAMAICA AVENUE 11428
251 West 51 St 10019
274 WEST  145 STREET 10039
